dataset_id,geometry_id,algorithm_id,bit_rule,contamination_id,seed,point_count,bits_axis,miad,normalized_miad,m1_l1_locality,m1_l1_status,m1_l1_sampled,m1_l1_sampled_status,m1_l2_locality,m1_l2_status,m1_l2_sampled,m1_l2_sampled_status,recall_8_64,recall_8_64_status,recall_8_64_sampled,recall_8_64_sampled_status,kendall_tau_clean,frame_angle_rad,peak_rss_kb,cache_miss_rate,block_read_p95,perf_status,sort_seconds,robust_fallback_used
stanford_armadillo,E4,A2_morton,C2_occupancy_floor1,D0,1,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1036612,0.0452887,14.0878946,ok,0.19976,False
stanford_armadillo,E4,A2_morton,C2_occupancy_floor1,D0,2,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1041900,0.0449832,14.0878946,ok,0.203491,False
stanford_armadillo,E4,A2_morton,C2_occupancy_floor1,D0,3,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1048548,0.044242,14.0878946,ok,0.199127,False
stanford_armadillo,E4,A2_morton,C2_occupancy_floor1,D0,4,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1061480,0.0434539,14.0878946,ok,0.201307,False
stanford_armadillo,E4,A2_morton,C3_frame_core_occupancy,D0,0,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1068044,0.0462009,14.0878946,ok,0.200979,False
stanford_armadillo,E4,A2_morton,C3_frame_core_occupancy,D0,1,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1075116,0.0506221,14.0878946,ok,0.202597,False
stanford_armadillo,E4,A2_morton,C3_frame_core_occupancy,D0,2,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1081980,0.0475478,14.0878946,ok,0.199779,False
stanford_armadillo,E4,A2_morton,C3_frame_core_occupancy,D0,3,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1088892,0.047755,14.0878946,ok,0.200426,False
stanford_armadillo,E4,A2_morton,C3_frame_core_occupancy,D0,4,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1095688,0.0390904,14.0878946,ok,0.200216,False
stanford_armadillo,E4,A2_morton,C4_hybrid,D0,0,172974,6 7 6,0.857450047,0.00374753537,1967472.92,exact,1967472.92,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.777128355,exact,0.777128355,exact,1,,1102532,0.0433257,14.0878946,ok,0.19975,False
