dataset_id,bit_rule,contamination_id,a6_miad,a3_miad,delta_a6_minus_a3,seed_count_a6,seed_count_a3,passed
stanford_armadillo,C0_uniform,D0,0.7291426306484335,0.6990836851730473,0.030058945475386234,5,5,False
stanford_armadillo,C1_monotone_half,D0,3.7978574641985383,0.6990836851730473,3.098773779025491,5,5,False
stanford_armadillo,C2_occupancy_floor1,D0,0.8488603435520442,0.6990836851730473,0.1497766583789969,5,5,False
stanford_armadillo,C3_frame_core_occupancy,D0,0.8459901153234526,0.6990836851730473,0.14690643015040528,5,5,False
stanford_armadillo,C4_hybrid,D0,0.8488603435520442,0.6990836851730473,0.1497766583789969,5,5,False
stanford_bunny,C0_uniform,D0,0.0019238764913510659,0.001851919939506953,7.195655184411291e-05,5,5,False
stanford_bunny,C1_monotone_half,D0,0.012010009815234904,0.001851919939506953,0.01015808987572795,5,5,False
stanford_bunny,C2_occupancy_floor1,D0,0.0022826595337081166,0.001851919939506953,0.0004307395942011636,5,5,False
stanford_bunny,C3_frame_core_occupancy,D0,0.002358503306248943,0.001851919939506953,0.00050658336674199,5,5,False
stanford_bunny,C4_hybrid,D0,0.0022826595337081166,0.001851919939506953,0.0004307395942011636,5,5,False
