dataset_id,dataset_label,geometry_id,algorithm_id,method,bit_rule,bit_allocator,contamination_id,contamination_mode,seed,frame_estimator,miad_off,miad_all,miad_all_minus_off,miad_all_minus_off_percent,normalized_miad_off,normalized_miad_all,normalized_miad_all_minus_off,normalized_miad_all_minus_off_percent
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C2_occupancy_floor1,occupancy_floor1,D0,clean,3.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C2_occupancy_floor1,occupancy_floor1,D0,clean,4.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,0.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,1.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,2.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,3.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,4.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C4_hybrid,hybrid_occupancy,D0,clean,0.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C4_hybrid,hybrid_occupancy,D0,clean,1.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C4_hybrid,hybrid_occupancy,D0,clean,2.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C4_hybrid,hybrid_occupancy,D0,clean,3.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A2_morton,morton,C4_hybrid,hybrid_occupancy,D0,clean,4.0,none,0.857450047152,0.556843131325,-0.300606915827,-35.0582423811,0.00374753537163,0.00243371533773,-0.0013138200339,-35.0582423811
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C0_uniform,uniform,D0,clean,0.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C0_uniform,uniform,D0,clean,1.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C0_uniform,uniform,D0,clean,2.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C0_uniform,uniform,D0,clean,3.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C0_uniform,uniform,D0,clean,4.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C1_monotone_half,monotone_half,D0,clean,0.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C1_monotone_half,monotone_half,D0,clean,1.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C1_monotone_half,monotone_half,D0,clean,2.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C1_monotone_half,monotone_half,D0,clean,3.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C1_monotone_half,monotone_half,D0,clean,4.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C2_occupancy_floor1,occupancy_floor1,D0,clean,0.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C2_occupancy_floor1,occupancy_floor1,D0,clean,1.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C2_occupancy_floor1,occupancy_floor1,D0,clean,2.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C2_occupancy_floor1,occupancy_floor1,D0,clean,3.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C2_occupancy_floor1,occupancy_floor1,D0,clean,4.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,0.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,1.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
stanford_armadillo,Stanford Armadillo,E4,A3_isotropic_hilbert,isotropic_hilbert,C3_frame_core_occupancy,frame_core_occupancy,D0,clean,2.0,none,0.699083685173,0.522853727662,-0.176229957511,-25.2087069472,0.00305538596285,0.00228516266937,-0.000770223293481,-25.2087069472
