runlist,dataset_id,dataset_label,geometry_id,expected_vertices,algorithm_id,method,bit_rule,bit_allocator,point_count,clean_point_count,contamination_id,contamination_mode,seed,frame_estimator,refinement,sort_seconds,output_hash,bits_axis,robust_fallback_used,miad,normalized_miad,m1_l1_locality,l1_locality,m1_l1_status,m1_l1_sampled,m1_l1_sample_size,m1_l1_sampled_status,m1_l2_locality,l2_locality,m1_l2_status,m1_l2_sampled,m1_l2_sample_size,m1_l2_sampled_status,recall_8_64,recall_8_64_status,recall_8_64_sampled,recall_8_64_sample_size,recall_8_64_sampled_status,peak_rss_kb,block_read_mean,block_read_p95,cache_references,cache_misses,cache_miss_rate,perf_status,kendall_tau_clean,frame_angle_rad
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C0_uniform,uniform,35947,35947,D0,clean,0,none,off,0.04090725095011294,963e6ec7c6b4a81fbe4c6d4eb788495261ec5c349c050b25c421b9c868d0b455,10 10 10,False,0.0022215371796570293,0.008877411677738615,0.0030566133127342496,,exact,0.0030566133127342496,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.7803850112665869,exact,0.7803850112665869,35947,exact,170776.0,0.017052111610583988,0.03836168948026143,2618444,174818,0.06676407820827943,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C0_uniform,uniform,35947,35947,D0,clean,1,none,off,0.04100620106328279,963e6ec7c6b4a81fbe4c6d4eb788495261ec5c349c050b25c421b9c868d0b455,10 10 10,False,0.0022215371796570293,0.008877411677738615,0.0030566133127342496,,exact,0.0030566133127342496,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.7803850112665869,exact,0.7803850112665869,35947,exact,171800.0,0.017052111610583988,0.03836168948026143,2807159,166952,0.05947365289960419,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C0_uniform,uniform,35947,35947,D0,clean,2,none,off,0.042099360027350485,963e6ec7c6b4a81fbe4c6d4eb788495261ec5c349c050b25c421b9c868d0b455,10 10 10,False,0.0022215371796570293,0.008877411677738615,0.0030566133127342496,,exact,0.0030566133127342496,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.7803850112665869,exact,0.7803850112665869,35947,exact,172940.0,0.017052111610583988,0.03836168948026143,3131970,172823,0.055180285890350164,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C0_uniform,uniform,35947,35947,D0,clean,3,none,off,0.0418061800301075,963e6ec7c6b4a81fbe4c6d4eb788495261ec5c349c050b25c421b9c868d0b455,10 10 10,False,0.0022215371796570293,0.008877411677738615,0.0030566133127342496,,exact,0.0030566133127342496,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.7803850112665869,exact,0.7803850112665869,35947,exact,174028.0,0.017052111610583988,0.03836168948026143,2609465,163853,0.06279179831881247,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C0_uniform,uniform,35947,35947,D0,clean,4,none,off,0.042080151033587754,963e6ec7c6b4a81fbe4c6d4eb788495261ec5c349c050b25c421b9c868d0b455,10 10 10,False,0.0022215371796570293,0.008877411677738615,0.0030566133127342496,,exact,0.0030566133127342496,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.7803850112665869,exact,0.7803850112665869,35947,exact,177100.0,0.017052111610583988,0.03836168948026143,2506965,162405,0.06478151868893263,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C1_monotone_half,monotone_half,35947,35947,D0,clean,0,none,off,0.0419794738991186,f1c6978884cdfee04d162be521b719b395f3e1f90410acc6a688ba08b6f1fd5a,10 4 1,False,0.012936890099432769,0.051696681151227,0.004059522762984648,,exact,0.004059522762984648,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.2557132723175787,exact,0.2557132723175787,35947,exact,178380.0,0.06940079442115156,0.1012836470017248,3209397,164735,0.05132895681026685,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C1_monotone_half,monotone_half,35947,35947,D0,clean,1,none,off,0.0411979389609769,f1c6978884cdfee04d162be521b719b395f3e1f90410acc6a688ba08b6f1fd5a,10 4 1,False,0.012936890099432769,0.051696681151227,0.004059522762984648,,exact,0.004059522762984648,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.2557132723175787,exact,0.2557132723175787,35947,exact,179404.0,0.06940079442115156,0.1012836470017248,2652747,174383,0.06573676268411575,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C1_monotone_half,monotone_half,35947,35947,D0,clean,2,none,off,0.04073010594584048,f1c6978884cdfee04d162be521b719b395f3e1f90410acc6a688ba08b6f1fd5a,10 4 1,False,0.012936890099432769,0.051696681151227,0.004059522762984648,,exact,0.004059522762984648,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.2557132723175787,exact,0.2557132723175787,35947,exact,180684.0,0.06940079442115156,0.1012836470017248,2556818,172505,0.06746862701999125,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C1_monotone_half,monotone_half,35947,35947,D0,clean,3,none,off,0.04178552399389446,f1c6978884cdfee04d162be521b719b395f3e1f90410acc6a688ba08b6f1fd5a,10 4 1,False,0.012936890099432769,0.051696681151227,0.004059522762984648,,exact,0.004059522762984648,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.2557132723175787,exact,0.2557132723175787,35947,exact,181708.0,0.06940079442115156,0.1012836470017248,2656671,165341,0.06223615946423174,ok,1.0,
table_2_dataset_summary,stanford_bunny,Stanford Bunny,E3,35947,A2_morton,morton,C1_monotone_half,monotone_half,35947,35947,D0,clean,4,none,off,0.04153755493462086,f1c6978884cdfee04d162be521b719b395f3e1f90410acc6a688ba08b6f1fd5a,10 4 1,False,0.012936890099432769,0.051696681151227,0.004059522762984648,,exact,0.004059522762984648,35947,exact,2.0014809988562656e-16,,exact,2.0014809988562656e-16,35947,exact,0.2557132723175787,exact,0.2557132723175787,35947,exact,182732.0,0.06940079442115156,0.1012836470017248,2797625,161622,0.05777114516777624,ok,1.0,
